,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Biltine,14.53,20.92,85.39,46,78,19.8,TD,1600881487
132,Mountain Home,43.13,-115.69,66.2,29,1,8.05,US,1600881487
133,Hithadhoo,-0.6,73.08,82.71,62,45,5.17,MV,1600881488
134,Chokurdakh,70.63,147.92,36.03,94,81,7.07,RU,1600881488
135,Olafsvik,64.89,-23.71,38.41,74,99,22.7,IS,1600881489
136,Tiksi,71.69,128.87,42.93,76,37,10.45,RU,1600881492
137,Shebalino,51.29,85.68,41.83,62,80,8.25,RU,1600881498
138,Bengkulu,-3.8,102.27,78.22,88,95,4.9,ID,1600881498
139,Japura,-0.32,102.35,76.15,94,76,1.77,ID,1600881499
140,Annau,37.89,58.52,71.6,28,0,6.93,TM,1600881499
141,Tual,-5.67,132.75,80.08,84,39,16.35,ID,1600881500
142,Hasaki,35.73,140.83,68.0,94,75,16.11,JP,1600881243
143,Pisco,-13.7,-76.22,64.99,77,75,8.05,PE,1600881501
144,Pyn U Lwin,22.03,96.47,67.93,100,100,1.1,MM,1600881501
145,Kailua,21.4,-157.74,79.0,74,20,10.29,US,1600881502
146,Mauá,-23.67,-46.46,69.01,72,90,9.17,BR,1600881502
147,Klaksvík,62.23,-6.59,44.6,93,59,8.05,FO,1600881503
148,Tadine,-21.55,167.88,67.91,81,1,9.26,NC,1600881503
149,Airai,-8.93,125.41,61.16,60,0,3.0,TL,1600881504
150,Ostrovnoy,68.05,39.51,45.37,69,83,14.29,RU,1600881504
151,Yerbogachën,61.28,108.01,43.41,88,7,4.18,RU,1600881505
152,Bredasdorp,-34.53,20.04,55.4,82,0,1.12,ZA,1600881505
153,Vredendal,-31.67,18.5,73.81,34,0,11.68,ZA,1600881506
154,Praxédis Guerrero,31.37,-106.02,86.0,19,40,9.48,MX,1600881507
155,Puebloviejo,10.99,-74.28,89.6,75,40,5.82,CO,1600881508
156,Hambantota,6.12,81.12,80.6,83,40,5.82,LK,1600881341
157,Anadyr,64.75,177.48,35.6,93,100,11.18,RU,1600881509
158,Igrim,63.19,64.42,40.98,96,100,3.71,RU,1600881509
159,Batagay,67.63,134.63,37.17,80,33,0.74,RU,1600881510
160,Ambāh,26.71,78.23,80.01,85,100,9.37,IN,1600881511
161,Kununurra,-15.77,128.73,77.0,83,37,5.06,AU,1600881511
162,Togitsu,32.83,129.85,70.99,87,100,4.41,JP,1600881246
163,Russell,32.35,-85.2,77.0,61,90,6.93,US,1600881512
164,Vanavara,60.34,102.28,41.41,88,87,6.85,RU,1600881513
165,Lorengau,-2.02,147.27,82.11,70,84,5.55,PG,1600881515
166,Bairnsdale,-37.83,147.62,42.01,90,22,8.99,AU,1600881515
167,Te Anau,-45.42,167.72,44.19,85,55,5.1,NZ,1600881516
168,Xingyi,24.19,102.82,57.42,95,100,3.29,CN,1600881516
169,Kudahuvadhoo,2.67,72.89,82.62,75,82,10.65,MV,1600881517
170,Nyurba,63.28,118.33,40.98,75,0,4.0,RU,1600881517
171,Morros,-9.45,-46.3,98.15,23,47,7.58,BR,1600881522
172,Nicolás R Casillas,20.53,-103.47,75.0,64,75,4.38,MX,1600881523
173,Thompson,55.74,-97.86,44.6,70,75,3.36,CA,1600881523
174,Vostok,46.49,135.88,41.97,98,0,3.13,RU,1600881524
175,Puksoozero,62.59,40.61,42.19,80,23,5.86,RU,1600881524
176,Alta Floresta,-9.88,-56.09,101.98,24,5,5.55,BR,1600881525
177,Ambon City,-3.7,128.18,79.23,86,83,6.96,ID,1600881525
178,Isangel,-19.55,169.27,70.45,84,5,9.51,VU,1600881526
179,Porto Santo,33.07,-16.34,77.0,73,40,10.29,PT,1600881526
180,Severobaykal'sk,55.65,109.32,44.49,72,0,2.91,RU,1600881527
181,Vao,-22.67,167.48,69.8,77,28,11.59,NC,1600881527
182,Yenagoa,4.92,6.26,73.94,95,100,5.88,NG,1600881528
183,Ilulissat,69.22,-51.1,28.4,58,20,5.82,GL,1600881528
184,Guerrero Negro,27.98,-114.06,81.93,47,0,6.53,MX,1600881530
185,Huntsville,34.73,-86.59,72.0,56,90,4.7,US,1600881530
186,Whitecourt,54.15,-115.69,42.8,93,75,8.05,CA,1600881250
187,Dunedin,-45.87,170.5,51.01,86,64,4.32,NZ,1600881531
188,Brownsville,25.9,-97.5,86.0,66,1,6.93,US,1600881532
189,Barra do Garças,-15.89,-52.26,96.78,30,97,3.04,BR,1600881532
190,Mirny,62.54,113.96,41.0,82,0,4.47,RU,1600881533
191,San Cristobal,7.77,-72.22,87.8,48,40,24.16,VE,1600881533
192,Nikolskoye,59.7,30.79,64.0,77,0,6.71,RU,1600881535
193,Souillac,-20.52,57.52,69.8,73,40,5.82,MU,1600881535
194,Linjiang,41.81,126.91,51.31,86,64,1.45,CN,1600881536
195,Mezhdurechenskiy,59.6,65.93,41.43,90,100,10.54,RU,1600881536
196,Norman Wells,65.28,-126.83,42.8,75,20,6.93,CA,1600881537
197,Seoul,37.57,126.98,66.2,59,90,4.7,KR,1600881303
198,Cayenne,4.93,-52.33,91.4,55,74,12.75,GF,1600881538
199,Margate,51.38,1.39,64.0,78,100,3.0,GB,1600881538
200,Port Lincoln,-34.73,135.87,52.09,70,86,10.94,AU,1600881539
201,Mehamn,71.04,27.85,42.8,75,75,14.99,NO,1600881539
202,George Town,5.41,100.34,80.6,83,40,3.36,MY,1600881540
203,Severo-Kuril'sk,50.68,156.12,46.51,75,4,14.79,RU,1600881540
204,Burē,10.7,37.07,57.56,93,77,2.1,ET,1600881541
205,Necochea,-38.55,-58.74,54.0,78,47,10.0,AR,1600881541
206,Katsuura,35.13,140.3,66.2,93,75,24.16,JP,1600881503
207,Ahipara,-35.17,173.17,58.69,91,50,11.01,NZ,1600881542
208,Villazón,-22.09,-65.59,64.11,22,0,8.28,BO,1600881543
209,Kasane,-17.82,25.15,84.2,25,0,10.29,BW,1600881544
210,Baoqing,46.33,132.21,50.59,92,4,2.44,CN,1600881544
211,Sola,-13.88,167.55,78.17,82,11,19.66,VU,1600881545
212,Saint George,37.1,-113.58,82.0,23,1,3.36,US,1600881545
213,Oakdale,44.96,-92.96,80.01,60,1,8.05,US,1600881546
214,Ancud,-41.87,-73.82,53.64,58,0,4.81,CL,1600881546
215,Kuandian,40.73,124.78,56.95,89,77,1.34,CN,1600881547
216,Abu Dhabi,24.47,54.37,91.4,70,19,6.93,AE,1600881548
217,Clyde River,70.47,-68.59,33.8,74,20,9.17,CA,1600881550
218,Kavieng,-2.57,150.8,82.18,68,72,8.61,PG,1600881550
219,Kruisfontein,-34.0,24.73,61.0,78,44,4.92,ZA,1600881551
220,College,64.86,-147.8,46.4,65,90,8.05,US,1600881552
221,Gao,16.64,1.64,101.01,18,17,8.61,ML,1600881552
222,Ponta Delgada,37.73,-25.67,66.2,82,75,31.09,PT,1600881553
223,Prymors'k,46.73,36.34,67.55,45,0,8.93,UA,1600881554
224,Xining,36.62,101.77,51.75,65,75,0.38,CN,1600881555
225,Albina,5.5,-54.05,95.65,37,78,4.97,SR,1600881555
226,Puerto Colombia,10.99,-74.95,91.4,66,40,8.05,CO,1600881556
227,Port Elizabeth,-33.92,25.57,60.8,87,39,3.36,ZA,1600881556
228,Dezful,32.38,48.41,89.49,12,0,5.88,IR,1600881557
229,Mount Isa,-20.73,139.5,71.6,24,1,9.17,AU,1600881557
230,Mufulira,-12.55,28.24,75.99,42,3,14.0,ZM,1600881558
231,Zhigansk,66.77,123.37,39.72,75,43,3.94,RU,1600881558
232,Hamilton,39.18,-84.53,73.99,56,1,3.36,US,1600881559
233,Ruston,32.52,-92.64,66.2,93,90,9.17,US,1600881559
234,Cockburn Town,21.46,-71.14,83.19,74,7,10.83,TC,1600881562
235,Hūn,29.13,15.95,87.37,23,0,3.11,LY,1600881562
236,North Platte,41.12,-100.77,81.0,32,1,6.93,US,1600881563
237,Ketchikan,55.34,-131.65,55.4,100,90,25.28,US,1600881563
238,Makakilo City,21.35,-158.09,78.8,83,1,3.36,US,1600881564
239,Marfino,55.7,37.38,66.0,77,31,4.47,RU,1600881565
240,Ambilobe,-13.2,49.05,73.69,64,79,5.46,MG,1600881565
241,Pfarrkirchen,48.43,12.94,63.0,97,100,5.23,DE,1600881566
242,Obo,5.4,26.49,74.16,84,19,2.17,CF,1600881566
243,Carauari,-4.88,-66.9,77.83,89,100,3.31,BR,1600881568
244,Bethel,41.37,-73.41,75.0,49,1,10.29,US,1600881568
245,Pevek,69.7,170.31,37.56,94,100,19.26,RU,1600881569
246,Żurrieq,35.83,14.47,80.6,69,81,9.17,MT,1600881569
247,Torbay,47.67,-52.73,64.99,100,90,27.51,CA,1600881570
248,Koslan,63.46,48.9,41.72,86,55,5.84,RU,1600881570
249,Amga,60.9,131.96,36.54,82,18,1.9,RU,1600881571
250,Erzin,36.96,36.2,82.0,79,13,1.99,TR,1600881572
251,Weiser,44.25,-116.97,73.99,45,1,4.41,US,1600881573
252,Onguday,50.75,86.15,40.42,66,62,4.27,RU,1600881573
253,Mastic Beach,40.77,-72.85,75.0,52,0,5.01,US,1600881574
254,Walvis Bay,-22.96,14.51,55.99,87,40,6.93,NA,1600881574
255,Broken Hill,-31.95,141.43,48.2,81,0,8.05,AU,1600881575
256,Huarmey,-10.07,-78.15,68.13,67,68,8.21,PE,1600881575
257,Kahului,20.89,-156.47,75.2,64,40,3.36,US,1600881581
258,Benguela,-12.58,13.41,73.4,78,27,6.93,AO,1600881581
259,Puerto Rico,-26.8,-55.02,91.45,25,0,2.26,AR,1600881582
260,Khandyga,62.67,135.6,37.78,79,0,2.28,RU,1600881584
261,Turukhansk,65.82,87.98,39.79,83,29,8.34,RU,1600881585
262,Eureka,40.8,-124.16,72.0,72,98,1.99,US,1600881586
263,Cabra,37.47,-4.44,78.01,52,1,11.72,ES,1600881586
264,Ribe,55.33,8.77,62.6,88,66,12.75,DK,1600881587
265,Gold Coast,-28.0,153.43,66.2,52,100,9.17,AU,1600881300
266,Karasjok,69.47,25.51,46.4,70,100,46.08,NO,1600881588
267,Gorontalo,0.54,123.06,74.91,89,99,2.1,ID,1600881588
268,Sinnamary,5.38,-52.95,86.7,61,98,13.58,GF,1600881589
269,Veinticinco de Mayo,-35.43,-60.17,71.62,47,99,4.68,AR,1600881589
270,Bagua Grande,-5.76,-78.44,82.38,56,76,7.23,PE,1600881590
271,Longyearbyen,78.22,15.64,32.0,91,75,11.41,SJ,1600881590
272,Namie,37.48,141.0,70.0,62,100,15.93,JP,1600881471
273,Esso,55.93,158.7,30.9,94,17,4.27,RU,1600881591
274,Yakima,46.47,-120.67,66.2,48,75,10.29,US,1600881592
275,Itarantim,-15.66,-40.07,84.63,52,45,11.45,BR,1600881592
276,Faya,18.39,42.45,77.0,14,66,12.75,SA,1600881593
277,Ust-Tsilma,65.44,52.15,38.34,88,29,6.71,RU,1600881593
278,Mutoko,-17.4,32.23,63.1,51,0,8.28,ZW,1600881595
279,Yermekeyevo,54.08,53.67,48.06,68,43,7.74,RU,1600881595
280,Byron Bay,-28.65,153.62,66.0,67,100,6.93,AU,1600881596
281,Sabzawār,36.21,57.68,64.44,26,0,11.21,IR,1600881596
282,Deputatsky,69.3,139.9,32.49,95,32,4.34,RU,1600881597
283,Arlit,18.74,7.39,100.6,10,0,16.13,NE,1600881597
284,Wadi Maliz,36.47,8.55,82.4,54,40,8.05,TN,1600881598
285,Rudnaya Pristan',44.36,135.81,52.75,82,22,9.26,RU,1600881598
286,Semey,50.41,80.23,55.8,45,100,29.1,KZ,1600881599
287,Mabaruma,8.2,-59.78,91.94,54,37,7.52,GY,1600881601
288,Talagante,-33.67,-70.93,75.2,33,100,2.24,CL,1600881601
289,Ambatondrazaka,-17.83,48.42,58.33,92,15,4.85,MG,1600881602
290,Rabo de Peixe,37.8,-25.58,66.2,82,75,31.09,PT,1600881602
291,Pedernales,18.04,-71.74,91.4,66,40,13.87,DO,1600881603
292,Puerto Limón,10.0,-83.03,86.0,74,75,4.7,CR,1600881603
293,Nicoya,10.15,-85.45,86.0,74,75,3.36,CR,1600881605
294,Ballina,-28.87,153.57,66.0,67,92,6.93,AU,1600881605
295,Morgan City,29.7,-91.21,80.6,88,75,9.17,US,1600881607
296,Lokosovo,61.13,74.82,39.63,92,100,7.87,RU,1600881607
297,Huesca,42.14,-0.41,71.6,53,20,6.93,ES,1600881608
298,Avera,33.19,-82.53,73.4,60,40,3.36,US,1600881608
299,Camopi,3.17,-52.32,96.84,34,70,5.17,GF,1600881609
300,Vrangel',42.73,133.08,56.16,86,52,6.24,RU,1600881609
301,Great Falls,47.5,-111.3,66.2,37,1,12.75,US,1600881610
302,Chui,-33.7,-53.46,64.72,59,71,4.05,UY,1600881610
303,Marabu,4.41,114.01,73.4,100,40,5.03,MY,1600881611
304,Rognan,67.1,15.39,50.0,70,94,1.01,NO,1600881611
305,Coyhaique,-45.58,-72.07,51.8,43,20,8.05,CL,1600881612
306,Vila Franca do Campo,37.72,-25.43,66.2,82,75,31.09,PT,1600881612
307,Labuhan,-6.88,112.21,79.68,81,68,7.05,ID,1600881613
308,Fairbanks,64.84,-147.72,46.4,93,90,4.34,US,1600881613
309,Bam,29.11,58.36,73.22,20,0,11.01,IR,1600881614
310,Namatanai,-3.67,152.43,79.2,68,28,4.41,PG,1600881614
311,Dedza,-14.38,34.33,61.56,63,3,6.02,MW,1600881615
312,Sakakah,29.97,40.21,96.8,11,6,3.36,SA,1600881616
313,Uzunovo,54.54,38.62,58.57,79,78,5.14,RU,1600881617
314,Tamandaré,-8.76,-35.1,80.26,67,46,12.24,BR,1600881617
315,Itoman,26.12,127.67,80.6,88,20,1.12,JP,1600881618
316,Hvolsvollur,63.75,-20.22,42.8,56,20,11.41,IS,1600881618
317,Saint-Léonard,47.17,-67.92,66.99,58,40,5.01,CA,1600881619
318,Ojinaga,29.57,-104.42,82.0,28,1,5.82,MX,1600881619
319,Kilrush,52.64,-9.48,57.2,54,20,8.05,IE,1600881620
320,Noratus,40.38,45.18,54.66,83,26,5.14,AM,1600881620
321,Harper,4.38,-7.72,78.3,85,53,12.68,LR,1600881621
322,Ajdabiya,30.76,20.23,77.68,56,0,9.71,LY,1600881621
323,Kieta,-6.22,155.63,78.53,72,95,3.42,PG,1600881622
324,Puqi,29.72,113.88,64.0,91,93,2.48,CN,1600881622
325,Doha,25.29,51.53,93.2,56,0,4.7,QA,1600881623
326,Morondava,-20.28,44.28,77.61,67,0,19.57,MG,1600881623
327,Iwaki,37.05,140.88,71.01,84,100,4.0,JP,1600881418
328,Magalia,39.81,-121.58,77.0,31,40,4.7,US,1600881625
329,Sur,22.57,59.53,82.22,58,58,0.49,OM,1600881422
330,Palu,-0.89,119.87,76.28,82,100,1.61,ID,1600881626
331,Whitianga,-36.83,175.7,59.0,93,74,5.01,NZ,1600881441
332,Tagusao,9.19,117.81,81.64,77,39,5.35,PH,1600881627
333,Jardim do Seridó,-6.58,-36.77,98.42,19,0,16.35,BR,1600881628
334,Haines Junction,60.75,-137.51,40.66,78,100,1.99,CA,1600881628
335,Mumford,5.26,-0.76,76.62,85,64,13.94,GH,1600881629
336,Belaya Gora,68.53,146.42,38.84,84,10,7.49,RU,1600881629
337,Provideniya,64.38,-173.3,36.81,81,5,3.76,RU,1600881630
338,Dukat,62.55,155.55,28.36,92,97,3.98,RU,1600881631
339,Sioux Lookout,50.1,-91.92,55.4,82,75,5.82,CA,1600881631
340,Karratha,-20.74,116.85,71.29,45,3,5.48,AU,1600881514
341,Darhan,49.49,105.92,44.42,59,6,0.54,MN,1600881632
342,Areosa,41.72,-8.86,68.0,77,20,5.82,PT,1600881632
343,Praia,14.92,-23.51,87.8,58,20,9.17,CV,1600881633
344,Stettler,52.32,-112.72,57.99,73,23,8.01,CA,1600881634
345,Nchelenge,-9.35,28.73,78.62,47,17,1.88,ZM,1600881634
346,Samarai,-10.62,150.67,78.04,86,79,13.0,PG,1600881635
347,Province of Groningen,53.25,6.75,63.0,88,20,8.05,NL,1600881445
348,Roura,4.73,-52.33,91.4,55,76,12.75,GF,1600881636
349,Dzhebariki-Khaya,62.22,135.8,36.66,82,0,0.81,RU,1600881636
350,Fairlie,55.76,-4.86,54.0,73,99,1.88,GB,1600881637
351,Ghanzi,-21.57,21.78,79.7,21,1,7.58,BW,1600881637
352,Gryazovets,58.88,40.25,50.16,93,5,5.1,RU,1600881638
353,Bathsheba,13.22,-59.52,89.6,66,20,13.87,BB,1600881638
354,Lock Haven,41.14,-77.45,77.0,36,1,9.17,US,1600881639
355,Bontang,0.13,117.5,76.5,88,100,4.38,ID,1600881639
356,Kuvshinovo,57.03,34.17,55.63,93,1,4.97,RU,1600881640
357,Yulara,-25.24,130.99,60.8,25,0,10.29,AU,1600881640
358,São José da Coroa Grande,-8.9,-35.15,79.92,68,44,12.8,BR,1600881641
359,Baiyin,36.56,104.21,60.01,93,40,4.47,CN,1600881641
360,Lexington,37.99,-84.48,71.01,60,1,6.93,US,1600881642
361,Arrondissement de Sarreguemines,49.08,7.33,68.0,88,20,2.24,FR,1600881642
362,Abu Samrah,35.3,37.18,74.84,55,0,10.16,SY,1600881643
363,Atar,20.52,-13.05,105.19,12,20,6.87,MR,1600881643
364,Nouadhibou,20.93,-17.03,78.8,69,0,18.34,MR,1600881644
365,Puerto del Rosario,28.5,-13.86,82.4,61,20,27.51,ES,1600881645
366,Yakeshi,49.28,120.73,38.62,86,0,5.59,CN,1600881645
367,Asău,46.43,26.4,57.99,84,3,0.58,RO,1600881646
368,Sovetskiy,61.36,63.58,42.35,91,99,6.96,RU,1600881646
369,Atambua,-9.11,124.89,72.45,79,20,4.5,ID,1600881647
370,Cidreira,-30.18,-50.21,66.69,66,4,11.07,BR,1600881647
371,Lata,40.16,-8.33,75.0,74,95,5.01,PT,1600881648
372,Marawi,8.0,124.29,77.0,87,84,3.0,PH,1600881649
373,Port Moresby,-9.44,147.18,75.06,92,72,7.58,PG,1600881649
