City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cockburn Town,21.46,-71.14,83.23,71,0,11.83,TC,1600697545
Isangel,-19.55,169.27,70.59,83,3,8.25,VU,1600697835
Marabu,4.41,114.01,77.0,94,40,8.05,MY,1600697724
San Andrés Sajcabajá,15.22,-90.92,52.0,100,35,1.66,GT,1600697957
Longyearbyen,78.22,15.64,39.2,64,75,23.04,SJ,1600697467
Ancud,-41.87,-73.82,48.99,74,98,5.01,CL,1600697583
Yenagoa,4.92,6.26,77.34,88,100,6.2,NG,1600697959
Hermanus,-34.42,19.23,68.0,42,0,1.01,ZA,1600697574
Yanam,16.73,82.22,82.4,74,90,10.29,IN,1600697745
Cody,44.53,-109.06,53.01,53,1,10.29,US,1600697960
Ayan,56.45,138.17,50.72,79,93,11.25,RU,1600697961
Pisco,-13.7,-76.22,62.6,88,90,4.7,PE,1600697492
Sangar,63.92,127.47,43.41,72,0,2.08,RU,1600697962
Amahai,-3.33,128.92,78.3,86,27,2.59,ID,1600697962
Russell,32.35,-85.2,62.6,59,1,9.17,US,1600697964
Chiredzi,-21.05,31.67,98.33,9,0,13.27,ZW,1600697964
Vostok,46.49,135.88,41.25,97,0,2.3,RU,1600697730
Morón,-34.65,-58.62,59.0,57,0,5.82,AR,1600697965
Clyde River,70.47,-68.59,30.2,92,90,13.87,CA,1600697693
Batemans Bay,-35.72,150.18,63.0,94,43,6.58,AU,1600697606
Santa Maria,-29.68,-53.81,60.8,48,0,3.36,BR,1600697967
Laela,-8.57,32.05,87.03,22,51,8.08,TZ,1600697967
Saskylakh,71.92,114.08,43.54,79,21,8.41,RU,1600697545
Umba,66.69,34.34,45.03,88,100,14.09,RU,1600697968
Sierre,46.29,7.54,69.8,68,75,10.29,CH,1600697969
Cobija,-11.03,-68.77,75.2,73,75,4.7,BO,1600697969
Deoli,25.75,75.38,87.67,31,0,5.17,IN,1600697970
San Cristobal,7.77,-72.22,78.8,78,20,2.24,VE,1600697507
Bluff,-46.6,168.33,54.0,62,100,13.0,NZ,1600697512
Alta Gracia,-31.65,-64.43,66.99,23,0,14.99,AR,1600697971
Ţaga,46.95,24.05,79.0,29,0,4.7,RO,1600697971
Tasiilaq,65.61,-37.64,32.0,92,100,4.7,GL,1600697593
Busselton,-33.65,115.33,54.0,97,50,10.78,AU,1600697514
Peniche,39.36,-9.38,79.0,58,3,5.01,PT,1600697973
Dikson,73.51,80.55,45.68,92,92,20.54,RU,1600697532
Manavgat,36.79,31.44,86.0,55,40,13.87,TR,1600697974
Khatanga,71.97,102.5,44.94,73,100,8.66,RU,1600697539
Arraial do Cabo,-22.97,-42.03,77.0,73,85,13.87,BR,1600697495
Kahului,20.89,-156.47,78.8,65,75,12.75,US,1600697609
Bilibino,68.05,166.44,28.18,95,88,3.31,RU,1600697725
Keti Bandar,24.14,67.45,86.43,72,32,13.53,PK,1600697978
Jadu,31.95,12.03,91.89,18,4,10.18,LY,1600697978
Sitka,57.05,-135.33,50.0,87,90,5.28,US,1600697550
Yerbogachën,61.28,108.01,39.16,87,0,0.78,RU,1600697707
Avarua,-21.21,-159.78,73.4,94,43,2.24,CK,1600697555
Harper,4.38,-7.72,78.85,83,78,13.53,LR,1600697761
Jalu,29.03,21.55,90.03,25,0,13.44,LY,1600697981
Tevaitoa,-16.78,-151.5,78.64,76,68,21.07,PF,1600697982
Alta Floresta,-9.88,-56.09,77.0,83,99,2.24,BR,1600697983
Mezen',65.85,44.24,42.75,88,68,4.47,RU,1600697984
Virginia Beach,36.85,-75.98,64.99,68,61,3.0,US,1600697984
Omsukchan,62.53,155.8,25.72,95,0,2.04,RU,1600697985
George Town,5.41,100.34,86.0,74,20,4.7,MY,1600697205
Sayyan,15.17,44.32,73.58,19,47,15.79,YE,1600697986
Torbay,47.67,-52.73,54.0,50,40,11.41,CA,1600697515
Severo-Kuril'sk,50.68,156.12,48.83,77,100,4.45,RU,1600697702
Tuktoyaktuk,69.45,-133.04,35.6,92,90,10.29,CA,1600697477
Nouadhibou,20.93,-17.03,84.2,66,40,9.17,MR,1600697667
Husavik,66.04,-17.34,37.4,78,90,4.7,IS,1600697483
Pemangkat,1.17,108.97,77.47,90,93,10.63,ID,1600697990
Bethel,41.37,-73.41,51.01,81,1,8.5,US,1600697554
Doka,13.52,35.77,86.09,60,14,1.72,SD,1600697991
Turochak,52.26,87.12,55.76,66,0,2.46,RU,1600697991
Muisne,0.6,-80.03,74.52,80,94,9.35,EC,1600697992
La Libertad,-2.23,-80.9,68.0,82,75,11.41,EC,1600697993
Saint-Philippe,-21.36,55.77,75.2,60,9,3.36,RE,1600697517
Tarata,-17.62,-66.02,68.0,40,20,4.7,BO,1600697994
Pangnirtung,66.15,-65.71,33.8,64,5,1.72,CA,1600697831
Pitsunda,43.16,40.34,77.0,50,24,11.18,GE,1600697995
Cayenne,4.93,-52.33,87.8,66,40,6.93,GF,1600697627
Puerto Santander,8.36,-72.41,78.8,78,20,2.24,CO,1600697996
Eydhafushi,5.1,73.07,82.17,80,60,13.44,MV,1600697996
East London,-33.02,27.91,64.4,52,0,24.16,ZA,1600697461
Karasjok,69.47,25.51,44.6,81,75,38.03,NO,1600697997
Yellowknife,62.46,-114.35,39.99,100,90,9.17,CA,1600697504
Tromsø,69.65,18.96,48.2,87,75,17.22,NO,1600697675
Saint Paul Harbor,57.79,-152.41,51.8,76,90,20.8,US,1600697468
Barrow,71.29,-156.79,35.6,97,90,16.11,US,1600697521
Souillac,-20.52,57.52,73.4,69,40,12.75,MU,1600697680
Oodweyne,9.41,45.06,90.45,21,99,2.51,SO,1600697750
Traiguén,-38.25,-72.68,53.26,69,100,3.13,CL,1600698000
Viedma,-40.81,-63.0,57.99,39,12,5.99,AR,1600697522
Bengkulu,-3.8,102.27,75.16,94,100,2.73,ID,1600697603
Hurghada,27.26,33.81,98.6,27,0,14.99,EG,1600698002
Taltal,-25.4,-70.48,65.88,50,0,5.26,CL,1600698002
Banjar,-8.19,114.97,78.8,100,75,12.75,ID,1600698003
Esperance,-33.87,121.9,48.2,93,40,6.93,AU,1600697455
Marawi,8.0,124.29,75.0,94,100,4.0,PH,1600697695
Qaanaaq,77.48,-69.36,16.75,85,17,5.7,GL,1600697514
Estelle,29.85,-90.11,75.2,100,90,17.22,US,1600698005
Menomonie,44.88,-91.92,61.0,62,1,5.82,US,1600698005
Naryan-Mar,67.67,53.09,39.49,76,95,9.89,RU,1600698006
Alvand,36.32,49.17,58.75,67,15,7.81,IR,1600698007
Zhezkazgan,47.8,67.71,46.51,72,98,24.81,KZ,1600698007
Worcester,42.33,-71.83,54.0,43,1,8.05,US,1600698008
Havelock,34.88,-76.9,66.99,68,1,13.87,US,1600698008
Sühbaatar,50.23,106.21,48.52,69,0,4.56,MN,1600697715
Padang,-0.95,100.35,80.42,66,100,6.8,ID,1600697254
Ponta do Sol,32.67,-17.1,77.0,65,20,6.93,PT,1600697626
Omboué,-1.57,9.26,78.8,72,52,12.19,GA,1600698011
Narok,-1.08,35.86,69.71,59,88,2.93,KE,1600698011
Kalmunai,7.42,81.82,84.76,65,81,3.06,LK,1600698012
Ningbo,29.88,121.55,73.99,77,75,2.24,CN,1600698012
Severobaykal'sk,55.65,109.32,42.03,68,0,8.84,RU,1600698013
Kaitangata,-46.28,169.85,48.0,61,6,11.01,NZ,1600697619
Syracuse,37.09,15.28,86.0,74,75,5.82,IT,1600698015
Bredasdorp,-34.53,20.04,64.4,39,0,11.41,ZA,1600697547
Portland,45.52,-122.68,57.99,87,75,1.9,US,1600698016
Port Elizabeth,-33.92,25.57,62.6,59,0,25.28,ZA,1600697706
Two Rivers,44.15,-87.57,62.01,67,1,13.87,US,1600698017
Benicarló,40.42,0.43,72.0,81,100,4.0,ES,1600698017
Alofi,-19.06,-169.92,71.6,94,90,6.93,NU,1600697713
Bereda,43.27,-7.54,72.0,56,50,5.01,ES,1600697807
Linguère,15.4,-15.12,90.97,50,61,7.16,SN,1600698019
Broadstairs,51.36,1.44,66.0,61,0,3.0,GB,1600698019
Una,20.82,71.03,80.08,89,100,13.85,IN,1600698020
Beloha,-25.17,45.05,78.53,47,0,12.1,MG,1600697530
Hithadhoo,-0.6,73.08,82.29,76,100,15.1,MV,1600697531
Bambous Virieux,-20.34,57.76,73.4,69,40,12.75,MU,1600698021
Tarancón,40.01,-3.01,75.0,36,0,9.6,ES,1600698022
Port Macquarie,-31.43,152.92,68.0,94,3,10.04,AU,1600698023
Mackenzie,55.3,-123.17,42.8,93,75,3.36,CA,1600698023
Saint Anthony,45.02,-93.22,63.0,63,1,12.75,US,1600697212
Upernavik,72.79,-56.15,28.96,93,100,6.06,GL,1600697487
Yuncheng,35.02,110.99,59.95,81,100,2.46,CN,1600697731
Saint George,37.1,-113.58,66.2,29,1,3.11,US,1600697549
Turaif,31.67,38.66,104.0,13,0,9.17,SA,1600698026
Przhevalskoye,55.51,31.85,59.94,73,98,7.49,RU,1600698026
Cherskiy,68.75,161.3,30.7,94,0,8.37,RU,1600697230
Davidson,36.15,-86.78,64.0,59,1,6.93,US,1600698027
Kieta,-6.22,155.63,79.27,76,98,1.39,PG,1600698028
Metro,-5.11,105.31,75.47,84,56,6.42,ID,1600697895
Santiago del Estero,-27.8,-64.26,67.1,30,0,8.46,AR,1600698029
Polyarny,69.2,33.45,41.0,93,75,6.71,RU,1600698030
Linxia Chengguanzhen,35.6,103.21,56.84,73,98,1.88,CN,1600698030
Port Lincoln,-34.73,135.87,54.28,67,36,23.89,AU,1600697486
Havre-St-Pierre,50.23,-63.6,48.2,66,1,9.17,CA,1600698031
Castro,-24.79,-50.01,64.53,70,99,8.86,BR,1600697559
Le Port,-20.94,55.29,73.4,64,31,20.8,RE,1600698032
Pevek,69.7,170.31,36.55,85,72,11.12,RU,1600697596
Kailua,21.4,-157.74,78.8,74,75,6.93,US,1600697536
Codrington,-38.27,141.97,49.69,85,6,13.89,AU,1600697777
Sisimiut,66.94,-53.67,33.22,93,100,8.57,GL,1600697585
Guerrero Negro,27.98,-114.06,72.07,78,0,6.76,MX,1600697664
Atherton,53.52,-2.49,71.01,57,0,1.01,GB,1600698035
Semey,50.41,80.23,71.6,24,15,15.66,KZ,1600698036
Grand Gaube,-20.01,57.66,73.0,68,21,10.0,MU,1600697528
Mount Gambier,-37.83,140.77,50.0,93,40,11.41,AU,1600698037
Dawei,14.08,98.2,78.42,90,100,2.08,MM,1600698038
San Lazaro,18.04,-88.66,80.6,88,40,2.55,BZ,1600698038
Coyhaique,-45.58,-72.07,44.6,65,18,5.82,CL,1600697710
Trairi,-3.28,-39.27,83.91,59,97,14.92,BR,1600698039
Shenjiamen,29.96,122.3,72.97,62,6,9.04,CN,1600697655
Kapaa,22.08,-159.32,78.8,78,75,9.17,US,1600697458
Ribeira Grande,38.52,-28.7,73.4,64,20,17.22,PT,1600697638
Nāspur,18.83,79.45,79.95,86,100,4.56,IN,1600698041
Hamilton,39.18,-84.53,61.0,66,1,8.05,US,1600697536
Hīt,33.64,42.83,103.68,9,0,2.75,IQ,1600698043
Kiryat Gat,31.61,34.76,86.0,58,0,5.01,IL,1600698043
Bathsheba,13.22,-59.52,89.6,66,20,9.17,BB,1600697617
Lake City,30.19,-82.64,72.0,82,90,13.87,US,1600698044
Dingle,11.0,122.67,77.09,84,99,2.06,PH,1600697803
Rocha,-34.48,-54.33,49.91,59,83,11.25,UY,1600697592
Nishihara,26.18,127.76,80.6,88,40,5.82,JP,1600697497
Dalton,34.77,-84.97,63.0,48,1,9.17,US,1600698046
Sørland,67.67,12.69,48.2,81,75,48.32,NO,1600698047
Larsnes,62.2,5.58,53.6,81,75,26.4,NO,1600698048
Ostrovnoy,68.05,39.51,45.84,72,50,8.03,RU,1600697640
Baykit,61.67,96.37,44.01,85,9,3.53,RU,1600698049
Djebeniana,35.03,10.91,86.0,70,40,10.29,TN,1600698049
Micoud,13.82,-60.9,88.0,74,20,13.87,LC,1600698050
Nueva Loja,0.08,-76.88,80.6,78,5,4.7,EC,1600698050
Isla Mujeres,21.23,-86.73,86.0,100,5,2.24,MX,1600698051
Atuona,-9.8,-139.03,78.67,71,6,21.21,PF,1600697475
Dunedin,-45.87,170.5,51.01,65,0,1.99,NZ,1600697412
Bani Walid,31.76,13.99,92.52,21,47,3.58,LY,1600698053
Nuuk,64.18,-51.72,37.4,93,75,2.24,GL,1600697560
Nanortalik,60.14,-45.24,38.52,83,67,6.8,GL,1600697546
Mahajanga,-15.72,46.32,86.0,48,20,10.29,MG,1600698054
Leningradskiy,69.38,178.42,35.08,87,84,13.49,RU,1600697694
Ndélé,8.41,20.65,80.82,84,55,5.55,CF,1600698055
Tarko-Sale,64.92,77.78,59.0,63,98,1.01,RU,1600698055
Klaksvík,62.23,-6.59,50.0,71,100,13.87,FO,1600697796
Mossamedes,-15.2,12.15,69.8,77,90,11.41,AO,1600697574
Nouakchott,18.09,-15.98,89.6,62,40,8.05,MR,1600697623
Mahébourg,-20.41,57.7,73.4,69,40,12.75,MU,1600697631
Half Moon Bay,37.46,-122.43,59.0,100,90,4.7,US,1600697552
Golden,39.76,-105.22,61.0,58,20,3.36,US,1600698059
Praia da Vitória,38.73,-27.07,73.0,73,40,9.35,PT,1600697780
Hofn,64.25,-15.21,48.2,66,40,20.8,IS,1600697597
Darlawn,24.02,92.9,70.39,98,99,2.1,IN,1600698060
Vila Franca do Campo,37.72,-25.43,71.6,73,20,20.8,PT,1600697666
Paratinga,-12.69,-43.18,98.91,21,0,3.6,BR,1600698061
Laguna,38.42,-121.42,62.01,76,1,2.8,US,1600698062
Marsabit,2.33,37.99,80.82,34,36,16.82,KE,1600698063
Pacific Grove,36.62,-121.92,57.0,80,90,2.55,US,1600697663
Askiz,53.13,90.53,54.55,77,0,0.6,RU,1600698064
Makkah al Mukarramah,21.43,39.83,100.98,20,0,16.8,SA,1600698001
Constitución,-35.33,-72.42,60.96,60,60,2.21,CL,1600697594
Provideniya,64.38,-173.3,35.6,84,68,9.08,RU,1600697505
Aldama,22.92,-98.07,77.0,77,30,1.01,MX,1600698065
Imbituba,-28.24,-48.67,60.8,38,0,10.29,BR,1600697643
Narsaq,60.92,-46.05,35.6,74,75,2.24,GL,1600697810
Cidreira,-30.18,-50.21,59.52,47,0,8.99,BR,1600697485
Kuusamo,65.97,29.18,46.4,93,90,16.11,FI,1600698067
Cabo San Lucas,22.89,-109.91,78.01,78,20,5.82,MX,1600697646
Nizwá,22.93,57.53,97.63,9,0,0.18,OM,1600698068
Belyy Gorodok,56.97,37.51,54.9,79,100,7.16,RU,1600698070
Ottawa,45.41,-75.7,54.0,71,20,2.24,CA,1600697862
Erenhot,43.65,111.98,55.69,39,0,2.64,CN,1600697784
Brignoles,43.4,6.07,78.01,94,90,5.82,FR,1600698071
Saint-Augustin,51.23,-58.65,52.12,55,0,11.16,CA,1600697529
Yatou,37.15,122.38,63.59,77,100,4.9,CN,1600697720
Ryōtsu-minato,38.08,138.43,60.8,93,100,2.24,JP,1600698074
Quimper,48.0,-4.1,64.4,93,90,2.24,FR,1600698075
Haines Junction,60.75,-137.51,34.38,89,2,2.77,CA,1600698076
Bariloche,-41.15,-71.31,41.0,48,62,2.24,AR,1600697868
Angoche,-16.23,39.91,79.38,61,0,18.12,MZ,1600698077
Xichang,27.9,102.26,68.61,77,100,3.27,CN,1600697901
Rājgarh,28.63,75.38,93.43,19,0,6.71,IN,1600698078
Constantine,36.37,6.61,78.8,47,75,10.29,DZ,1600698078
Shingū,33.73,135.98,66.65,73,92,4.79,JP,1600698025
Tétouan,35.57,-5.37,82.4,51,29,10.29,MA,1600698079
Birao,10.28,22.79,84.06,77,64,6.13,CF,1600698080
Peruíbe,-24.32,-47.0,64.92,93,100,5.97,BR,1600698081
Gamba,-2.65,10.0,78.1,70,7,10.63,GA,1600698081
Lumeje,-11.55,20.78,91.11,20,89,2.66,AO,1600698082
Vardø,70.37,31.11,42.8,87,75,27.51,NO,1600698082
Ayr,55.46,-4.63,59.0,82,75,10.29,GB,1600698083
Himatangi,-40.4,175.32,55.99,93,15,1.01,NZ,1600698083
Necochea,-38.55,-58.74,50.0,70,8,5.99,AR,1600698084
Lingao,19.91,109.69,81.09,83,91,11.01,CN,1600698085
Cabra,37.47,-4.44,84.99,34,55,4.0,ES,1600698086
Daru,-9.08,143.21,77.32,85,100,14.54,PG,1600698086
Pinotepa Nacional,16.32,-98.02,78.24,84,98,2.33,MX,1600698087
Laas,46.62,10.7,68.0,72,75,6.93,IT,1600697677
Vestmannaeyjar,63.44,-20.27,46.4,52,75,25.28,IS,1600698088
Kita,13.03,-9.49,87.08,59,98,5.39,ML,1600698088
Emerald,-23.53,148.17,73.4,73,0,8.05,AU,1600698089
Gatton,-27.55,152.28,68.0,88,0,1.61,AU,1600698090
Port Hardy,50.7,-127.42,51.8,100,90,2.24,CA,1600697711
Senanga,-16.12,23.27,101.48,8,0,10.65,ZM,1600698091
Iqaluit,63.75,-68.51,33.8,95,90,3.36,CA,1600697654
Hashtrūd,37.48,47.05,73.58,36,0,13.56,IR,1600698092
Monte Gordo,37.18,-7.45,82.0,64,2,11.41,PT,1600698093
Aykhal,66.0,111.5,44.6,65,0,2.24,RU,1600698093
Waipawa,-41.41,175.52,55.4,82,1,23.04,NZ,1600697615
Machico,32.7,-16.77,77.0,65,20,6.93,PT,1600698094
Hukuntsi,-24.0,21.75,87.31,10,31,12.93,BW,1600698095
Broome,42.25,-75.83,51.01,86,1,4.7,US,1600697547
Ranfurly,-45.13,170.1,35.01,73,0,6.26,NZ,1600697950
Khargone,21.82,75.6,82.02,79,67,4.43,IN,1600697989
Tadine,-21.55,167.88,68.31,83,0,13.35,NC,1600698097
Cap Malheureux,-19.98,57.61,73.0,68,17,8.99,MU,1600698097
Flinders,-34.58,150.86,68.0,77,100,1.01,AU,1600697772
Saraland,30.82,-88.07,64.0,95,100,1.01,US,1600698099
Mercedes,-34.65,-59.43,60.01,42,22,1.01,AR,1600698100
Klyuchi,52.27,79.17,65.71,33,100,12.33,RU,1600698100
Sobolevo,54.43,31.9,59.95,75,71,9.69,RU,1600697515
Chakradharpur,22.7,85.63,78.03,91,100,3.11,IN,1600698101
Pitimbu,-7.47,-34.81,80.6,78,75,12.75,BR,1600698102
Fukuechō,32.69,128.84,72.41,75,70,21.77,JP,1600698103
Diego de Almagro,-26.37,-70.05,73.62,20,0,2.93,CL,1600698103
Hokitika,-42.72,170.97,51.28,69,100,3.06,NZ,1600698104
Hong Kong,22.29,114.16,80.01,93,100,14.99,HK,1600697395
Faanui,-16.48,-151.75,78.03,76,44,20.67,PF,1600697599
Taoudenni,22.68,-3.98,111.13,7,0,11.23,ML,1600697615
Wilmington,34.23,-77.94,66.0,67,20,16.11,US,1600698106
Oltu,40.55,42.0,76.8,28,100,6.06,TR,1600698107
Volosovo,59.43,29.48,59.0,62,40,11.18,RU,1600698108
Bayjī,34.93,43.49,104.97,9,0,6.4,IQ,1600698108
Kattivākkam,13.22,80.32,86.0,66,75,4.7,IN,1600698109
Saldanha,-33.01,17.94,69.8,35,0,3.36,ZA,1600697561
Airai,-8.93,125.41,61.03,100,100,2.33,TL,1600697616
Saint-Pierre,-21.34,55.48,75.2,60,6,3.36,RE,1600697891
Brenham,30.17,-96.4,69.8,100,90,8.05,US,1600698110
Geraldton,-28.77,114.6,50.0,81,0,5.82,AU,1600697737
Mlimba,-8.8,35.82,89.2,35,10,7.49,TZ,1600698112
Maningrida,-12.07,134.27,76.39,87,0,7.34,AU,1600698112
Samarai,-10.62,150.67,78.4,87,91,13.11,PG,1600697806
Mala,-12.66,-76.63,64.85,70,85,5.17,PE,1600698114
Santa Maria da Vitória,-13.39,-44.19,95.34,23,29,6.91,BR,1600698115
Vicuña,-30.03,-70.71,55.4,76,20,5.82,CL,1600698115
Mitú,1.2,-70.17,86.13,61,9,3.6,CO,1600698116
Moose Factory,51.26,-80.61,57.2,67,1,16.11,CA,1600697537
Yulara,-25.24,130.99,59.0,15,0,6.93,AU,1600697524
Karacaköy,41.4,28.38,75.2,64,75,21.92,TR,1600698119
Qaqortoq,60.72,-46.03,35.6,74,75,2.24,GL,1600698120
Honningsvåg,70.98,25.97,42.8,81,75,18.34,NO,1600698121
Nioki,-2.72,17.68,89.65,51,78,5.03,CD,1600698121
São João da Barra,-21.64,-41.05,75.2,78,53,6.93,BR,1600697572
Waitati,-45.75,170.57,52.0,90,0,1.01,NZ,1600698122
Cap-aux-Meules,47.38,-61.86,55.4,58,20,8.05,CA,1600698123
Zhigansk,66.77,123.37,41.54,75,20,2.57,RU,1600698124
Kudymkar,59.02,54.66,40.3,74,99,4.94,RU,1600698124
Tiarei,-17.53,-149.33,75.2,69,20,3.36,PF,1600698126
Srednekolymsk,67.45,153.68,32.45,89,1,6.87,RU,1600698127
La Ronge,55.1,-105.28,51.8,93,75,10.29,CA,1600697517
Flagstaff,35.2,-111.65,54.0,41,1,2.86,US,1600698128
Dingzhou,38.51,115.0,68.0,82,0,2.24,CN,1600697863
Saint-Joseph,-21.37,55.62,75.2,60,7,3.36,RE,1600698129
Caucayá,-0.19,-74.78,87.15,58,75,0.63,CO,1600698130
Vestmanna,62.16,-7.17,51.8,71,100,10.29,FO,1600698130
Ozernovskiy,51.5,156.52,47.84,88,100,1.48,RU,1600698131
Baghmara,23.8,86.21,79.65,87,60,7.43,IN,1600698131
Barreirinha,-2.79,-57.07,96.31,39,46,5.37,BR,1600698132
Krasnyy Yar,46.53,48.35,64.4,20,0,4.47,RU,1600698023
Black River,18.03,-77.85,87.8,70,20,6.93,JM,1600698133
Alindao,5.03,21.21,79.41,88,100,2.98,CF,1600698134
Puerto Maldonado,-12.6,-69.18,69.8,83,90,5.82,PE,1600698134
Baykal'sk,51.51,104.15,49.78,78,0,2.08,RU,1600698135
Lorengau,-2.02,147.27,82.22,78,24,6.62,PG,1600698135
Liverpool,53.41,-2.98,70.0,52,0,6.93,GB,1600698136
Ol'ga,43.74,135.29,51.26,91,10,3.38,RU,1600697689
Northam,51.03,-4.22,73.0,60,0,1.01,GB,1600698137
Clonakilty,51.62,-8.87,70.0,68,20,8.05,IE,1600698137
Lata,40.16,-8.33,82.0,47,34,7.9,PT,1600698138
Haimen,23.19,116.61,80.6,78,75,4.47,CN,1600698139
Dwārka,22.24,68.97,84.67,79,100,11.34,IN,1600698139
Jequié,-13.86,-40.08,86.67,43,55,6.85,BR,1600698140
Edosaki,35.95,140.32,68.0,88,75,3.36,JP,1600698140
Bāgeshwar,29.85,79.77,74.34,70,0,1.79,IN,1600698141
Tocopilla,-22.09,-70.2,67.78,45,13,7.76,CL,1600697595
Chenzhou,25.8,113.03,73.2,92,83,2.13,CN,1600698142
Rundu,-17.93,19.77,100.27,9,0,4.43,NA,1600698142
Malakal,9.53,31.66,85.84,69,73,2.24,SS,1600698143
Fethiye,36.62,29.12,82.4,65,20,18.34,TR,1600698144
Progreso,21.28,-89.67,82.0,88,20,6.93,MX,1600698144
Phonhong,18.5,102.42,77.0,100,75,2.24,LA,1600698145
Zhangye,38.93,100.45,53.1,82,100,4.5,CN,1600697980
Sosnovo-Ozerskoye,52.52,111.54,35.31,86,0,6.85,RU,1600698146
Kushmurun,52.45,64.63,48.69,53,14,8.32,KZ,1600698147
Pudozh,61.81,36.53,49.55,79,100,8.52,RU,1600698147
Benguela,-12.58,13.41,75.2,78,20,6.93,AO,1600698148
